/wiki/List_of_World_Heritage_Sites_in_Africa;Aapravasi Ghat;Port Louis District, Mauritius.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}200931S 573011E / 20.158611S 57.503056E
/wiki/List_of_World_Heritage_Sites_in_Africa;Abu Mena;Abusir, Egypt305028N 293947E / 30.84098N 29.663117E
/wiki/List_of_World_Heritage_Sites_in_Africa;Air and Ténéré Natural Reserves;Arlit Department, Niger18N 9E / 18N 9E
/wiki/List_of_World_Heritage_Sites_in_Africa;Aksum;Tigray Region, Ethiopia140749N 384307E / 14.130190N 38.718605E
/wiki/List_of_World_Heritage_Sites_in_Africa;Al Qal'a of Beni Hammad;Maadid, Algeria354906N 44713E / 35.818440N 4.786840E
/wiki/List_of_World_Heritage_Sites_in_Africa;Aldabra Atoll;Aldabra Group, Seychelles92500S 462500E / 9.416681S 46.41665E
/wiki/List_of_World_Heritage_Sites_in_Africa;Amphitheatre of El Jem;El Djem, Tunisia351747N 104225E / 35.296390N 10.706940E
/wiki/List_of_World_Heritage_Sites_in_Africa;Ancient Ferrous Metallurgy Sites of Burkina Faso;Douroula,Tiwega,Yamane,Kindibo,Bekuy, Burkina Faso123516N 31944W / 12.5877583N 3.3289861W
/wiki/List_of_World_Heritage_Sites_in_Africa;Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata;Chinguetti,Ouadane,Oualata,and Tichitt, Mauritania205544N 113725W / 20.928890N 11.623610W
/wiki/List_of_World_Heritage_Sites_in_Africa;Ancient Thebes with its Necropolis;Qena, Egypt254400N 323600E / 25.733330N 32.600000E
/wiki/List_of_World_Heritage_Sites_in_Africa;Archaeological Site of Carthage;Tunis, Tunisia365110N 101924E / 36.852780N 10.323330E
/wiki/List_of_World_Heritage_Sites_in_Africa;Archaeological Site of Cyrene;Jebel Akhdar, Libya324930N 215130E / 32.825000N 21.858330E
/wiki/List_of_World_Heritage_Sites_in_Africa;Archaeological Site of Leptis Magna;Khoms, Libya323818N 141735E / 32.638330N 14.293060E
/wiki/List_of_World_Heritage_Sites_in_Africa;Archaeological Site of Sabratha;Sabratha, Libya324819N 122906E / 32.805280N 12.485000E
/wiki/List_of_World_Heritage_Sites_in_Africa;Archaeological Site of Volubilis;Meknes, Morocco340426N 53325W / 34.073890N 5.556940W
/wiki/List_of_World_Heritage_Sites_in_Africa;Archaeological Sites of the Island of Meroe;Meroe, Sudan165600N 334300E / 16.933333N 33.716667E
/wiki/List_of_World_Heritage_Sites_in_Africa;Asante Traditional Buildings;Kumasi, Ghana62404N 13733W / 6.401111N 1.625833W
/wiki/List_of_World_Heritage_Sites_in_Africa;Asmara;Maekel, Eritrea152007N 385609E / 15.335277777777778N 38.935833333333335E
/wiki/List_of_World_Heritage_Sites_in_Africa;Barberton Makhonjwa Mountains;Mpumalanga, South Africa254706S 310307E / 25.785S 31.052E
/wiki/List_of_World_Heritage_Sites_in_Africa;Banc d'Arguin National Park;and Nouadhibou, Mauritania201405N 160632W / 20.234720N 16.108890W
/wiki/List_of_World_Heritage_Sites_in_Africa;Bassari Country: Bassari, Fula and Bedik Cultural Landscapes;Senegal123536N 125045W / 12.593333N 12.845833W
/wiki/List_of_World_Heritage_Sites_in_Africa;Bwindi Impenetrable National Park;Kabale District,Kisoro District,and Rukungiri District, Uganda10450S 293941E / 1.080556S 29.661389E
/wiki/List_of_World_Heritage_Sites_in_Africa;Cape Floral Region Protected Areas;Eastern Capeand Western Cape, South Africa342140S 182830E / 34.361111S 18.475000E
/wiki/List_of_World_Heritage_Sites_in_Africa;Chongoni Rock-Art Area;Dedza District, Malawi141736S 341645E / 14.293333S 34.279167E
/wiki/List_of_World_Heritage_Sites_in_Africa;Cidade Velha, Historic Centre of Ribeira Grande;Ribeira Grande, Cape Verde145455N 233619W / 14.915139N 23.605194W
/wiki/List_of_World_Heritage_Sites_in_Africa;Cliff of Bandiagara (Land of the Dogons);Bandiagara Cercle, Mali142000N 32500W / 14.333330N 3.416670W
/wiki/List_of_World_Heritage_Sites_in_Africa;Comoé National Park;Zanzan, Cote d'Ivoire9N 4E / 9N 4E
/wiki/List_of_World_Heritage_Sites_in_Africa;Dja Faunal Reserve;Dja-et-Loboand Haut-Nyong, Cameroon3N 13E / 3N 13E
/wiki/List_of_World_Heritage_Sites_in_Africa;Djémila;Setif, Algeria361914N 54412E / 36.320560N 5.736670E
/wiki/List_of_World_Heritage_Sites_in_Africa;Djoudj National Bird Sanctuary;Saint-Louis Region, Senegal163000N 161000W / 16.500000N 16.166670W
/wiki/List_of_World_Heritage_Sites_in_Africa;Dougga / Thugga;Beja Governorate, Tunisia362525N 91313E / 36.423610N 9.220280E
