/wiki/List_of_World_Heritage_Sites_in_North_America;20th century architecture of frank lloyd wright;Various (eight locations) United States
/wiki/List_of_World_Heritage_Sites_in_Africa;Aapravasi ghat;Port Louis District, Mauritius.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}200931S 573011E / 20.158611S 57.503056E
/wiki/List_of_World_Heritage_Sites_in_North_America;Aasivissuit  nipisat inuit hunting ground between ice and sea;Nipisat, western Greenland, Kingdom of Denmark.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}67350N 512559W / 67.06389N 51.43306W
/wiki/List_of_World_Heritage_Sites_in_Africa;Abu mena;Abusir, Egypt305028N 293947E / 30.84098N 29.663117E
/wiki/List_of_World_Heritage_Sites_in_the_Arab_States;Aflaj irrigation systems of oman;Dakhiliyah, Sharqiyah and Batinah Regions, Oman225956N 573210E / 22.99889N 57.53611E
/wiki/List_of_World_Heritage_Sites_in_North_America;Agave landscape and ancient industrial facilities of tequila;Jalisco, Mexico205147N 1034643W / 20.86306N 103.77861W
/wiki/List_of_World_Heritage_Sites_in_Africa;Air and tnr natural reserves;Arlit Department, Niger18N 9E / 18N 9E
/wiki/List_of_World_Heritage_Sites_in_Africa;Aksum;Tigray Region, Ethiopia140749N 384307E / 14.130190N 38.718605E
/wiki/List_of_World_Heritage_Sites_in_the_Arab_States;Al hasa;Hofuf, Al-Ahsa Governorate Saudi Arabia252546N 493719E / 25.42944N 49.62194E
/wiki/List_of_World_Heritage_Sites_in_the_Arab_States;Al hijr archaeological site madin slih;Al Madinah Province, Saudi Arabia264701N 375718E / 26.78361N 37.95500E
/wiki/List_of_World_Heritage_Sites_in_Africa;Al qala of beni hammad;Maadid, Algeria354906N 44713E / 35.818440N 4.786840E
/wiki/List_of_World_Heritage_Sites_in_the_Arab_States;Al zubarah archaeological site;Al Shamal, Qatar255841N 510147E / 25.97806N 51.02972E
/wiki/List_of_World_Heritage_Sites_in_Africa;Aldabra atoll;Aldabra Group, Seychelles92500S 462500E / 9.416681S 46.41665E
/wiki/List_of_World_Heritage_Sites_in_the_Caribbean;Alejandro de humboldt national park;Holguin and Guantanamo, Cuba.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}2027N 750W / 20.450N 75.000W
/wiki/List_of_World_Heritage_Sites_in_Africa;Amphitheatre of el jem;El Djem, Tunisia351747N 104225E / 35.296390N 10.706940E
/wiki/List_of_World_Heritage_Sites_in_Eastern_Asia;Ancient building complex in the wudang mountains;Danjiangkou, Hubei, China.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}32280N 11100E / 32.46667N 111.00000E
/wiki/List_of_World_Heritage_Sites_in_the_Arab_States;Ancient city of aleppo;Aleppo Governorate, Syria361400N 371000E / 36.23333N 37.16667E
/wiki/List_of_World_Heritage_Sites_in_the_Arab_States;Ancient city of bosra;Daraa Governorate, Syria323105N 362854E / 32.51806N 36.48167E
/wiki/List_of_World_Heritage_Sites_in_the_Arab_States;Ancient city of damascus;Damascus Governorate, Syria333041N 361823E / 33.51139N 36.30639E
/wiki/List_of_World_Heritage_Sites_in_Eastern_Asia;Ancient city of ping yao;Pingyao County, Shanxi, China37125N 112916E / 37.20139N 112.15444E
/wiki/List_of_World_Heritage_Sites_in_China;Ancient city of pingyao;Pingyao County, Shanxi
