id,place,duration,title,date
xv_0tpSn_6s,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,173,"18th-Century Royal Palace at Caserta with the Park, the  ... (UNESCO/NHK)",20140520
WLbGooeJHbg,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,120,Aqueduct of Vanvitelli and St Leucio complex - Caserta - Italy,20101024
mmpHqNGda70,Archaeological area and the patriarchal basilica of aquileia,77,"Caserta Royal Palace and Park, Italy - World Heritage Journeys",20190429
HIHRW8DLqFg,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,223,Royal palace Caserta   #linooffthebeatenpathseries,20210522
hB8_td6HOYw,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,90,"Aqueduct of Vanvitelli - Benevento, Caserta, Italy - DJI Mavic Pro - 4k - Drone",20180505
n88Mbk1F1TM,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,291,Aqueduct of Vanvitelli and St Leucio complex Travel,20140810
CyiMlcRKE9w,Pont du gard roman aqueduct,153,Aqueduct of Vanvitelli Drone Tour (World Heritage Site),20191011
nG4eC_Ou4mQ,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,35,Acquedotto Carolino,20170508
c9h5gF62jM8,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,254,Royal Palace at Caserta - UNESCO World Heritage Site,20180409
igwgY7MuqzI,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,328,Caserta Royal Palace by Valoridinapoli.it,20080312
YYfPtRt5Zcw,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,128,"Aqueduct of Vanvitelli (Carolino), Valle di Maddaloni, Caserta, Campania, Italy, Europe",20190404
xFVINtY3DAI,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,54,Royal Palace of Caserta - the World of Wonders project,20111024
O6liLU9oDHg,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,285,"The park at ""La Reggia"", Caserta, Italy",20061004
m7Sd6-jx8kM,Westminster palace westminster abbey and saint margarets church,1020,OLD SARUM: THE ABANDONED MEDIEVAL CITY | RUINS OF ROYAL CASTLE AND FIRST SALISBURY CATHEDRAL,20211026
gL2sJNuc1_w,Royal palaces of abomey,540,"Royal Palace of Caserta, Italy HD",20180103
mZRTV6KA1Tc,Crespi dadda,239,"La Reggia di Caserta, l'ottava meraviglia",20170404
i75q5pGA8uE,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,301,Tuscany Hill Town Drone Tour [4K Mavic 2 Pro],20190922
i_fkeMT2BI8,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,828,"Versailles, France - Palace of Versailles (2018)",20180623
CvnroN73Le8,The trulli of alberobello,6234,"Matera, Italy Walking Tour [4K | 60fps]",20191207
b7Sam8oG84o,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,238,"Majestic Italian castle for sale | Milan, Italy - Ref. 0562",20171128
WdgfRdSBrWA,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,110,Caserta Wars,20081014
fEYA5glblDM,Palace and gardens of schnbrunn,783,Schönbrunn Palace - Schloß Schönbrunn 🇦🇹 Vienna Tourist Guide Travel & Discover,20140405
aIYKvoAMqss,Pont du gard roman aqueduct,118,Roman Aqueducts,20131106
WvJQ9aydpjY,18th century royal palace at caserta with the park the aqueduct of vanvitelli and the san leucio complex,255,Sawadì: Unesco World Heritage,20210615
