id,place,duration,title,date,height,filesize
SAm6Awzqyr8,Aachen cathedral,417,Aachen Highlights by drone 2021,20210505,2160,678002004
vJ1HftOGa7o,Aachen cathedral,215,Lake Aachen (Achensee) - 4k drone based teaser,20180929,2160,686665728
7s5TYFPP6Uw,Abu mena,733,How to fly drones for beginners,20210624,2160,863190914
weK4NgWcUN8,Dilmun burial mounds,805,I went to Iceland to fly my drone over an active volcano (Fagradalsfjall),20211008,2160,1052880396
-lzFLM8hte0,Acropolis athens,136,Acropolis by drone / Athens Aerial - ἀκρόπολις,20210622,2160,252359734
rUes9SGHEz8,Persepolis,249,"Athens, Greece 🇬🇷 - by drone [4K]",20210702,2160,417369379
yEfWV-d3bH4,Acropolis athens,68,Acropolis at night / Athens aerial drone,20210823,2160,104573400
-3bAj459ahY,Acropolis athens,86,"Parthenon drone, acropolis/ Athens Aerial, Greece - ἀκρόπολις",20210622,2160,151823545
KRftIKamN1E,Acropolis athens,143,Acropolis by night / Athens drone,20210823,2160,220018478
19RQagzBY3M,Mountain railways of india,139,Stunning aerial drone footage of INDIA - 4K,20151124,2160,274662554
Pbs0yR5nfYo,Agra fort,143,"Niagara Falls, Canada 🇨🇦 / USA 🇺🇸 - by drone [4K]",20190823,2160,275270157
JOubOrfCsV8,Ellora caves,308,Melville Caves 4k drone footage,20180221,2160,676429976
2UzqxU6G52Y,Yungang grottoes,60,Ellora shooting from drone 4K,20181225,2160,127940283
LoK6RWiz8Lk,Rock hewn churches lalibela,35,"4K Flying over view drone of the rock-cut church of Saint George, Amhara Region, Lalibela, Ethiopia",20190401,2160,89303824
TRH-go_ayiE,Al hasa,597,💥 RECENSIONE: 🛸 Dongmingtuo X8 drone con videocamera regolabile a distanza,20180715,2160,1247315908
DXozj6Ro2pQ,The persian garden,653,Switzerland 🇨🇭 - by drone [4K],20210507,2160,1308042822
yi5dYq5p6Ek,Alto douro wine region,62,Pinhao douro river single shot video of the wineyards - Portugal by drone 4K,20200923,2160,127521618
xGgDskfTCvY,Costiera amalfitana,296,"Amalfi Coast, Italy 🇮🇹 - by drone [4K]",20210709,2160,630436688
gcJOHMmrQ7Y,Costiera amalfitana,673,Italy Amalfi Coast 8k drone video High Resolution hdr  7680 x 4320,20210331,4320,3142354317
e7352dnytK8,Amalfi coast,181,"Sant'Agnello Sorrento Amalfi Coast 4K, Drone footage, Italy by drone",20180924,2160,379463816
P-MpBcUY2bc,Amiens cathedral,44,Cathédrale Notre-Dame de Reims avec drone,20150921,2160,82779063
AFzxbrOiJ5A,Amiens cathedral,65,Flying a drone in a cathedral!,20200825,2160,104260657
r02F61EURPk,Medina of tunis,117,Vlog Tunisie - Tunisia drone - Bekalta Summer 2017 part.1 by Nabs Drone,20180209,2160,195815378
obg9vBhosq0,Medina of tunis,91,"Vlog Tunisie - Tunisia drone Mahdia ""Borj el ras"" Tunisia 2018 Skyview by Nabs Drone",20181125,2160,148672450
X-l92JUKb7U,Ancient city of damascus,212,western Jerusalem by drone,20210711,2160,445467261
mXd12I5sMOA,Ancient city of nessebar,585,Nessebar Bulgaria 2020 🇧🇬 | Old Town & Beach (by drone 4K),20200901,2160,1247086559
l9-BR7Gxca8,Ancient city of nessebar,311,Old town nessebar 4k drone video,20170426,2160,1034331628
_MWWVfUEuZ4,Ancient city of nessebar,678,Old Nesebar - Flying with a drone over the ancient city on its own island,20210827,2160,1615416278
554ycC3925M,Ancient city of nessebar,94,Nesebyr - Bulgary from Drone 2017 [4K] - Несебър - българия (drone footage by dexfly.pl),20170705,2160,230886135
q3t9KSjHKpM,Old town of lijiang,294,"FENGHUANG Ancient Town (China, Hunan). Stunning day and night views by drone (4K).",20201005,2160,545076492
gI4huDJJB8k,Ancient city of polonnaruwa,81,Sri Lanka - by drone 2017 - 4K,20170313,2160,194479051
P7uGFMDZlhg,Sacred city of anuradhapura,206,Sri Lanka by drone - Featured Creator Yura Fedorov,20160525,2160,445776747
YGYCvW6gVOg,Byblos,287,Douma town by drone | بلدة دوما,20190201,2160,614167209
8dLNFo1JPZM,Angkor,474,"Angkor wat,  seen from above (drone) 4K",20190521,2160,1796210669
PV4mzJv7d0U,Anjar,48,"Hammana, Lebanon: by drone",20190710,2160,89733472
LbJD3mFH4ig,Anjar,157,"AMMIQ Wetlands, Bekaa Lebanon by drone  [4K]  |  عمّيق - البقاع الغربي، لبنلن",20181113,2160,324566837
6MXPdU5dNOQ,Anjar,145,Rise Up Lebanon  - لبنان السياحة والجمال | cinematic video| drone footage Mavic pro 2,20200219,2160,223230046
GLHY3FsqTSk,Anjar,122,Lebanon drone clip,20190409,2160,298251616
FNu12sOzIyo,Antigua guatemala,195,Antigua Guatemala with drone,20160515,2160,432875987
8ZmsgeIleG8,Antigua guatemala,76,Antigua Guatemala via drone,20160310,2160,168466247
o-4znn1zhcw,Antigua guatemala,84,Antigua Guatemala - Parque Central 360 degree view via drone,20160304,2160,183040835
tTyR6HSH1bA,Antigua guatemala,45,"Antigua, Guatemala & Lake Atitlan, Guatemala 2020 drone teaser",20200208,2160,78463391
I9oqL4r7noA,Antigua guatemala,90,La Reunion Golf Resort and Residences - Antigua Guatemala via drone,20160310,2160,206963158
65XmDsbfOCE,Antigua guatemala,91,"La Merced Church, Antigua, Guatemala via drone",20160305,2160,216931346
1Vx9Q4z5YsE,Chan chan archaeological zone,454,SPINALONGA by drone [4K] Crete Greece,20200225,2160,1103059945
Q9Hjt-3kCZs,Villa romana del casale,298,Sicily 4k by drone | Sicily Italy tour (aerial View) | Taormina Sicily 4k | #Sicily #Italy #island,20210525,2160,561164817
rT0xw80OIvw,Quseir amra,176,"Val d'Hérens on four seasons, Valais Switzerland - 4k drone footage",20160801,2160,390411521
idGrY-YFejw,Historic centre of zacatecas,148,Luxembourg Spring & Summer 4K  - Filmed with DJI Phantom 3 Professional drone (2016),20160608,2160,312027826
zzIah0Lt3JY,Archaeological areas of pompei herculaneum and torre annunziata,208,"Pompeii and Vesuvio 4K, fly over Pompei, Pompeje, Pompeji | Aerial drone footage",20180913,2160,438703507
-C4-GrMo37Q,Archaeological areas of pompei herculaneum and torre annunziata,464,"Mount Vesuvius - the sleeping giant, filmed with a drone",20190624,2160,837212501
zjIHJL60PvU,Venice and its lagoon,630,Naples from the drone 🇮🇹 Italy | cinematic | 4K,20210813,2160,1352869693
qGpvvOphwj4,Archaeological site of ani,151,Kourion from drone,20201122,2160,307011616
EdAx2ej0lDE,Medina of tunis,288,Tunis drone view - Tunisia drone 4k - Flying over Tunisia in drone,20210716,2160,657202061
zTJxizuvIOQ,Sanctuary of asklepios at epidaurus,126,"Delphi, Greece from drone  in 4k UltraHD | Древнегреческие Дельфы с воздуха",20181220,2160,285082832
Cqfd7t3jEgc,Archaeological site of leptis magna,173,Termisa village - Nafusa mountains drone - Libya,20200923,2160,248133237
vb4Y3qt6INI,Mount athos,66,Hosios Loukas Monastery from drone in 4k UltraHD  | Монастырь Осиос Лукас с воздуха,20181220,2160,167753183
vp96ODAEsuM,Archaeological site of mystras,622,Το επικό κάστρο της Ναυπάκτου από Drone | Nafpaktos Epic castle from a drone's view,20200612,2160,1546810041
7VMF6fYgPno,Archaeological site of olympia,195,Ακροκόρινθος: Μια ιστορία που ξεκινά από την αρχαιότητα | Acrocorinth Castle by drone,20210524,2160,410433585
ak077CbzuRg,Archaeological site of olympia,209,Cycling the Peloponnese [4k drone footage | Kyllini | Kastro | Chlemoutsi | Glarentza | Kafkalida],20210712,2160,387730160
qUrFMn3w1U4,Archaeological sites of the island of meroe,841,Flying my Sony a7s3 on an FPV drone.,20211014,2160,1206801948
TZIH7gunOfE,Archaeological site of troy,364,"Exploring historic Troy Ghost Town, Nye County, NV by drone",20180907,2160,799901848
zWwAdjpmitI,Historic city of meknes,917,Early morning drone flight around Leesport and Bern Township in 4K,20180826,2160,1995125131
YN_iUjDNddc,Archaeological site of volubilis,300,Morocco drone mavic air - Morocco 4k drone - Flying over Morocco in drone,20210721,2160,731381385
0NNPKe4ewb4,Archaeological sites of the island of meroe,96,"Sea lion came at us on Kayaks, caught on drone video",20201115,2160,179322615
vaT_4r1V5Dg,Revillagigedo archipelago,235,Socorro Island (the Revillagigedo Islands) from drone,20210720,2160,452908006
uBK5C9KUvNs,Archipilago de revillagigedo,538,Punta Sur on Isla Mujeres by drone in 4k,20200327,2160,1037203014
-eLIjMS9FUk,Armenian monastic ensembles of iran,60,Noravank 13th-century Armenian monastery drone footage Jan 2021,20210513,2160,109540088
nkb_zdbHMBw,Varberg radio station,2539,"Giolì & Assia - #DiesisLive @Etna Volcano, Sicily [FPV drone / Electric Handpan, Grand Piano]",20191227,2160,5050311931
m2-TWLJKR08,Historic centre of naples,621,Grado 🇮🇹 Italy | drone - Bella Italia | 4K,20210808,2160,1232937492
i3gYZqDPnmA,As salt   the place of tolerance and urban hospitality,255,"Salt Lake City, Utah | 4K drone footage",20210116,2160,416310359
hSQ1-oulFnk,Asante traditional buildings,1024,Life in prison for flying a drone,20210604,2160,1074011519
knx7RYNM2m4,Atlantic forest south east reserves,169,"Sunset drone flight deep in Amazon Jungle, Bolivia",20170901,2160,259258686
BHGubg4pkGg,Auschwitz birkenau german nazi concentration and extermination camp 19401945,576,"Auschwitz and with drone 4k ( UHD ) WARNING: Actual footage of entire camp | by RGR food ""travel""",20210321,2160,1700733475
VLOx6XOvI4k,Australian convict sites,222,Sydney [ 4k] by drone ||beautiful places of Australia||Sydney ultra HD||iconic Opera House 4k,20210605,2160,362815401
QojXRvYgXxo,Babylon,243,"Melbourne, Australia 🇦🇺 - by drone [4K]",20191220,2160,446752871
oA3e-UWNljM,Babylon,138,「4K」Bangkok City drone View 2021｜Air Music,20210903,2160,266607076
jGZs29qZAVQ,Old city of zamo,480,"Istanbul, Turkey 🇹🇷 - by drone [4K]",20201120,2160,843491750
6UqZNGHDwf0,Babylon,210,VOLCANO ERUPTION Iceland 2021 - I melted my drone for this video!!,20210430,2160,362455187
o3sfTAYQU6A,Babylon,47,Rubar hotel drone,20200308,2160,90247339
NrtUV-36F64,Baekje historic areas,159,Rainbow_Korea drone | Healing meditation | 무지개_논산,20210830,2160,322788896
ql0inv3nM_U,Baekje historic areas,248,"A huge river of Baekje, 백제의 큰 강 (백마강) (with YI 4K, FPV drone)  - FPV free-flying #칠지공원",20190415,2160,387702313
BFzzkaJIvec,Baekje historic areas,184,[힐링멍] 하늘멍 l 4K 드론(drone)영상 l #1 l 공주 부여 l 힐링 l 뇌휴식  l 명상,20201207,2160,236510728
-tjN2KizPeE,Bagan,149,bagan by drone 2018!,20180101,2160,176248691
2VrrIH-aeTg,Bagan,183,Bagan temples. Bagan UNESCO World Heritage. La Birmanie vue du ciel. Bagan drone video.,20190504,2160,339420717
VSpVzmBox5E,Bagan,320,"Myanmar, Bagan, Mandalay, Mount Popa - Mavic pro  drone 4K",20170814,2160,742643512
0UDmu3h0rJg,Bagan,150,【4K】Bagan drone footage 〜バガンでドローン【Myanmar】,20200314,2160,291072881
HogcStKBBcs,Bahi holy places in haifa and the western galilee,99,הכינרת. טבריה | Israel. Sea of Galilee|  Tiberias from drone,20200928,2160,233264769
q4lmRgZr70U,Bahi holy places in haifa and the western galilee,86,HERZLIYA MARINE - ISRAEL | Aerial Drone Video in 4K | Amazing drone shots | DJI Mavic 2 pro,20200319,2160,154147377
EgeqKqwebZI,Sagarmatha national park,186,Nepal 🇳🇵 - by drone [4K],20200501,2160,502500449
7R27P05RYVk,Banc darguin national park,134,Un hamac et un drone,20210128,2160,291625045
YST-VoLAnH4,Baroque churches of the philippines,868,Manila City drone | Manila Philippinese 4k drone,20210914,2160,1618600810
7CppjK1mQGU,Belize barrier reef reserve system,368,Exploring the reefs of Belize in 4k by drone,20161103,2160,823807675
5JP6KdrZHdM,Beni hammad fort,165,Europe From Air #4 - NORTH MACEDONIA | Stunning 4k drone video,20191219,2160,386842893
tABU2-QNBZ8,Blaenavon industrial landscape,562,cwmbran drone,20191007,2160,1466702310
lPG0aPVBBYA,Blenheim palace,125,DJI Mini 2 drone 4K - Oxford and Blenheim Palace - England,20210405,2160,255677920
SQWQ8_ysEHQ,Blue and john crow mountains,375,"Holywell Pool, Kathryn Tickell & The Darkening, drone video",20210409,2160,716177756
9DiRvv2Na08,Bordeaux port of the moon,81,Photographie  Aérienne par drone Bordeaux Gironde,20171209,2160,142755231
PGNEkMDfBqo,Botanical garden orto botanico padua,145,Chicago Alder Planetarium drone view 4K,20171109,2160,269803633
oLDlYLQbb44,Bourges cathedral,246,Ely Cathedral from mavic pro drone,20171113,2160,542343297
1_s0CD4GT18,Bourges cathedral,84,Abbaye de Saint-Roman en drone FPV,20210510,2160,239100190
P18l-Ty8UYs,Boyana church,577,"Boyana - the pearl of Sofia, filmed with a drone",20190327,2160,1278734632
ky6Tc-0ucF4,Rila monastery,385,"Rilski Monastery (Рилски манастир) - one of the three greats, filmed with a drone",20190219,2160,962124132
uYWvj_hzovY,Studenica monastery,207,Lopushanski Monastery (Лопушански манастир) - filmed with a drone,20190603,2160,522351759
fA7kQn-l6T4,Braslia,206,"Rio de Janeiro, Brazil 🇧🇷  - by drone [4K]",20190830,2160,300452579
MWVhZAtWiz8,Braslia,266,"Rio de Janeiro, Brazil 🇧🇷  - by drone [4K]",20210813,2160,533385393
VQ1xCS3OxYc,Braslia,226,"Favelas - Rio de Janeiro, Brazil 🇧🇷  - by drone [4K]",20210917,2160,460654160
Sg4tAbdS4Mk,Bryggen,260,Bergen Aerial / Norway drone 4K,20181109,2160,569146427
YLHGcBGy16M,Burgos cathedral,606,Chester drone footage 4k. University cathedral and roman remains.,20191231,2160,968970432
X44zGKad2sY,Burgos cathedral,41,Samara Cathedral by drone,20190505,2160,76387790
lHxPSAKVlNQ,Byblos,720,Tannourine by drone -4k- | تنورين,20181206,2160,1528082324
-3eZYsb3BCU,Virgin komi forests,171,Jannet Chouwen - Jabal Moussa forest - Lebanon - [4K] drone video footage | جنة شوّان وجبل موسى,20170619,2160,367947229
mtcDwKV23g4,Jesuit missions of chiquitos,495,Ehden by drone | اهدن,20181217,2160,1041273553
1eRc7SCWl9k,Byblos,201,"Roum 2020, a Lebanese village shot by drone.",20200708,2160,538087643
9wPJLPQyq9I,Rock hewn churches lalibela,41,"4K Flying over view drone of the rock-cut church of Saint George, Amhara Region, Lalibela, Ethiopia",20190401,2160,89556662
ECybrhisMVs,Canaima national park,3818,Venezuela 4k drone - 4k Scenic Relaxation Film With Calming piano Music | Mount Roraima,20211002,2160,4471436712
DfA3DtNzXaM,Canaima national park,229,Lewa Sogeri - a drone adventure at Variarata National Park,20210530,2160,497244732
itXbkib00A0,Canal du midi,65,Canal du Midi en drone,20170806,2160,145866157
LNUew-vNlDU,Canal du midi,85,"Pont-canal de Béziers, Canal du Midi, vu du ciel avec drone DJI MAVIC Air 2",20201013,2160,173130976
ZEWFA2BDSFQ,Carlsbad caverns national park,3605,Explore USA - Beautiful Stunning Nature drone Footage with Soothing  Instrumental Music,20210817,2160,6564527033
shGW8zLIGc0,Castel del monte,311,Castel del Monte - 24 Settembre 2020 - Volo con drone - Video 4k,20200924,2160,463916888
616pS05Hizc,Castel del monte,69,Castel del Monte by drone,20200714,2160,131461186
wZ46SZBrLfM,Castel del monte,26,"Castel Del Monte in Puglia, Italy -  4k drone shot of a medieval castle with octagonal shape.",20190421,2160,43173899
OzR8iGJ1yjs,Castel del monte,80,fimi x8 se 2020 Castle Kácov drone cinematic drone footage,20210404,2160,159458496
6wvLjJN34Jw,Castel del monte,118,Soave vista dal drone - maggio 2021,20210905,2160,263797234
LrphRhRVa1c,Castle of the teutonic order in malbork,236,"Malbork Castle, Poland, drone footage",20210308,2160,520269781
NYebb2u05uM,Castle of the teutonic order in malbork,173,"Poland, Malbork - drone video 4K",20201227,2160,332856614
xo4b9UWgqXA,Castle of the teutonic order in malbork,94,Kwidzyn Castle in winter 4K drone (Zamek w Kwidzynie zimą),20210222,2160,173564700
WqnRaW5ky9I,Castles and town walls of king edward in gwynedd,152,Caernarfon Castle.....................by drone,20180818,2160,334151147
